RecordType,Date,Time,Temperature,Humidity,AmbLight,Battery,MotDetects60secs,MotDets0-9secs,MotDets10-19secs,MotDets20-29secs,MotDets30-39secs,MotDets40-49secs,MotDets50-59secs,Lat,Long,Timestamp
1,25-06-02,20:04:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:04:00
1,25-06-02,20:05:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:05:00
1,25-06-02,20:06:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:06:00
1,25-06-02,20:07:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:07:00
1,25-06-02,20:08:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:08:00
1,25-06-02,20:09:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:09:00
1,25-06-02,20:10:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:10:00
1,25-06-02,20:11:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:11:00
1,25-06-02,20:12:01,21,51,0,160,1,0,0,0,1,0,0,34.17472,-119.25857,25/06/02 20:12:01
1,25-06-02,20:13:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:13:00
1,25-06-02,20:14:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:14:00
1,25-06-02,20:15:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:15:00
1,25-06-02,20:16:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:16:00
1,25-06-02,20:17:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:17:00
1,25-06-02,20:18:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:18:00
1,25-06-02,20:19:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:19:00
1,25-06-02,20:20:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:20:00
1,25-06-02,20:21:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:21:00
1,25-06-02,20:22:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:22:00
1,25-06-02,20:23:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:23:00
1,25-06-02,20:24:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:24:00
1,25-06-02,20:25:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:25:00
